node_id,values,exprs,parent_values,parent_exprs,parent_id,depth
194,"(6, 24)","('6', '((4*6)*1)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
195,"(1, 30)","('1', '((4*6)+6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
196,"(1, 144)","('1', '((4*6)*6)')","(1, 6, 24)","('1', '6', '(4*6)')",10.0,2
197,"(0.6666666666666666, 7)","('(4/6)', '(1+6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
198,"(0.6666666666666666, -5)","('(4/6)', '(1-6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
199,"(0.6666666666666666, 5)","('(4/6)', '(6-1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
200,"(0.6666666666666666, 6)","('(4/6)', '(1*6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
201,"(0.6666666666666666, 0.16666666666666666)","('(4/6)', '(1/6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
202,"(0.6666666666666666, 6.0)","('(4/6)', '(6/1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
203,"(6, 1.6666666666666665)","('6', '(1+(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
204,"(6, 0.33333333333333337)","('6', '(1-(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
205,"(6, -0.33333333333333337)","('6', '((4/6)-1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
206,"(6, 0.6666666666666666)","('6', '(1*(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
207,"(6, 1.5)","('6', '(1/(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
208,"(6, 0.6666666666666666)","('6', '((4/6)/1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
209,"(0.6666666666666666, 7)","('(4/6)', '(6+1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
210,"(0.6666666666666666, 6)","('(4/6)', '(6*1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
211,"(1, 6.666666666666667)","('1', '(6+(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
212,"(1, 5.333333333333333)","('1', '(6-(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
213,"(1, -5.333333333333333)","('1', '((4/6)-6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
214,"(1, 4.0)","('1', '(6*(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
215,"(1, 9.0)","('1', '(6/(4/6))')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
216,"(1, 0.1111111111111111)","('1', '((4/6)/6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
217,"(6, 1.6666666666666665)","('6', '((4/6)+1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
218,"(6, 0.6666666666666666)","('6', '((4/6)*1)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
219,"(1, 6.666666666666667)","('1', '((4/6)+6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
220,"(1, 4.0)","('1', '((4/6)*6)')","(1, 6, 0.6666666666666666)","('1', '6', '(4/6)')",11.0,2
221,"(1.5, 7)","('(6/4)', '(1+6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
222,"(1.5, -5)","('(6/4)', '(1-6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
223,"(1.5, 5)","('(6/4)', '(6-1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
224,"(1.5, 6)","('(6/4)', '(1*6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
225,"(1.5, 0.16666666666666666)","('(6/4)', '(1/6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
226,"(1.5, 6.0)","('(6/4)', '(6/1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
227,"(6, 2.5)","('6', '(1+(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
228,"(6, -0.5)","('6', '(1-(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
229,"(6, 0.5)","('6', '((6/4)-1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
230,"(6, 1.5)","('6', '(1*(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
231,"(6, 0.6666666666666666)","('6', '(1/(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
232,"(6, 1.5)","('6', '((6/4)/1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
233,"(1.5, 7)","('(6/4)', '(6+1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
234,"(1.5, 6)","('(6/4)', '(6*1)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
235,"(1, 7.5)","('1', '(6+(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
236,"(1, 4.5)","('1', '(6-(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
237,"(1, -4.5)","('1', '((6/4)-6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
238,"(1, 9.0)","('1', '(6*(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
239,"(1, 4.0)","('1', '(6/(6/4))')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
240,"(1, 0.25)","('1', '((6/4)/6)')","(1, 6, 1.5)","('1', '6', '(6/4)')",12.0,2
